period,hamilton_silver_t,hamilton_gold_t,hamilton_value_t_ag,crown_share,modern_arrivals_t_ag,production_t_ag,hamilton_vs_modern,arrivals_over_production
1503-1510,0.0,4.7,48.5,0.262,92.4,0.0,0.525,inf
1511-1520,0.0,9.0,92.6,0.262,109.5,0.0,0.846,inf
1521-1530,0.1,4.8,49.6,0.262,77.1,0.0,0.643,inf
1531-1540,105.0,12.5,236.3,0.3191,483.6,187.7,0.489,2.576
1541-1550,176.4,25.5,442.4,0.2247,771.9,424.3,0.573,1.819
1551-1560,301.1,43.5,755.4,0.2909,1196.3,727.8,0.631,1.644
1561-1570,928.7,11.5,1071.9,0.2211,1549.6,1105.4,0.692,1.402
1571-1580,1105.4,9.6,1233.0,0.3412,1463.9,1659.1,0.842,0.882
1581-1590,2069.5,12.2,2249.9,0.2931,1892.5,2718.2,1.189,0.696
1591-1600,2670.7,19.7,2943.7,0.3016,2297.1,3068.2,1.281,0.749
1601-1610,2178.8,12.0,2359.9,0.27,2484.0,3340.0,0.95,0.744
1611-1620,2161.3,9.0,2310.5,0.2116,2605.0,3369.4,0.887,0.773
1621-1630,2101.5,3.9,2197.4,0.183,2615.5,3325.5,0.84,0.786
1631-1640,1364.4,1.2,1413.4,0.282,2919.1,3400.0,0.484,0.859
1641-1650,1035.7,1.6,1079.7,0.2471,3055.2,2757.5,0.353,1.108
1651-1660,434.0,0.5,450.6,0.2671,2703.2,2472.0,0.167,1.094
