year,page,arrival,vessel,port,real_hacienda,particulares,total,morineau,year_checks_out,flag
1717,31,,SXI~~Ei Águila de Nantes,HAB,,4750,4750,,True,
1717,31,,S. Isidro,HAB,,4250,4250,,True,
1717,31,7-XII,S. Feo. J. 'Hermiona',VRC,1079797,3995197,5074994,,True,
1717,31,,Sto. Cristo Maracaibo,VRC,,10787,10787,,True,
1717,31,,S. Feo. Javier,HAB,,3301,3301,,True,
1717,31,15-XII,Felipe y Santiago,HON,57298,401091,458389,,True,
1717,31,,"N.""* S."" Rosario",HON,348,500,848,,True,
1717,31,,Isabela Galera,HAB,,1400,1400,,True,
1717,31,,Santiago y S. Dimas,CAM,,36994,36994,7685245,True,
1717,31,,S. Dimas y Ánimas,VRC,,19896,19896,,True,
1717,31,,IQ-XII-N.'^S.-Begona,VRC,,7160,7160,,True,
1718,31,2-VI,N.^S.-del Carmen,VRC,,241368,241368,,True,
1718,31,16-VIII,"N.''S.''Begoña.. N."" S."" Guadalupe",VRC,1616749,4713983,6330732,,True,
1718,31,,"N.* S."" de los Reyes",VRC,,70968,70968,,True,
1718,31,,S.Carlos,VRC,,36905,36905,,True,
1718,31,,"N.""* S."" Milagros",VRC,,132086,132068,,True,crown+private != total
1718,31,,S. Francisco Paula,VRC,,52415,52415,,True,
1718,31,,"N."" S."" de Atocha",VRC,,54157,54157,,True,
1718,31,,Stma. Trinidad,VRC,,37514,37514,,True,
1718,31,,"N.* S.""» de Regla",VRC,,22176,22176,6657788,True,
1718,31,,Príncipe de Asturias,PTB,61033,370093,431126,354652,True,
1718,31,10-XI,"N.'' S."" Concepción",HAB,,30327,30327,,True,
1718,31,,"S. José, 'Real Jorge'",VRC,40840,226288,267128,300000,True,
1719,32,,5-1 - N.^ S/ de la Candelaria,HAB,,16149,16149,,True,
1719,32,3-IX,S. Feo. Javier,CTG,28500,391884,420384,400000,True,
1719,32,,S-IX-N.^'S.^ Carmen,VRC,,43712,43712,42372,True,
1720,32,30-III,S.Carlos/Marta',CTG,,26037,26037,,True,
1720,32,,"4-1V - N."" S.^ Concepción",HAB,,37124,37124,,True,
1720,32,,"17-Xn-S.Bartmé.,Cambi",VRC,643259,2975046,3618305,,True,
1720,32,,El Infante,VRC,54264,219659,273923,,True,
1720,32,,S. José/Volante',VRC,,40357,40357,,True,
1720,32,,"S. José, Teliz'",HAB,,24467,24467,,True,
1720,32,,S.Carlos,CTG,,39600,39600,,True,
1720,32,,"22-Xn-N.-S."" Carmen",CTG,,810298,810298,,True,
1720,32,,23-Xn-N.''S.='Begoña. VRC-HAB,,642587,2536831,3179418,7986920,True,
1721,32,,"23-n — N.* S."" Monserrate",HAB,,26434,26434,,True,
1721,32,,"24-n-N."" S.» del Rosario .. .. . N."" S."" Concepción",B-A,,4193190,4193190,4191190,True,
1721,32,,18-1V —Santiago y S. Dimas,P-R,,1120,1120,,True,
1721,32,,20-1V—Aranzazu y S. Dimas,VRC,,181642,181642,181000,True,
1721,32,14-VI,(?),P-R,,,,100000,True,
1721,32,,29-Vn-Stma. Trinidad,CRC,,14648,14648,14000,True,
1721,32,,27-Vni-Águila Volante,LMA,300000,880496,1180496,1153883,True,
1721,32,19-IX,"N.''S.""Guadalupe",VRC,398020,4292443,4690463,,True,
1721,32,19-IX,S.José,VRC,398030,3753763,4151793,,True,
1721,32,,"N."" S."" de Atocha",VRC,,189987,189987,,True,
1721,32,,Reina de los Ángeles,VRC,,95596,95596,,True,
1721,32,,"N.*» S."" Rosario y S. D.""",VRC,,22919,22919,,True,
1721,32,,"N.^ S."" Carmen y S. Fco",VRC,,35812,35812,,True,
1721,32,,N.'' S.^ Concepción,,,26858,26858,,True,
1721,32,,S. Francisco Javier,VRC,8000,208354,216354,,True,
1721,32,,"N."" S.' de las Angustias",VRC,,409789,409789,,True,
1721,32,,"N.^ S."" del Rosario",VRC,,498731,498731,,True,
1721,32,,S. Vicente Ferrer,VRC,,54928,54928,,True,
1721,32,,N.^ S.^ de Regla,VRC,,119406,119406,10154369,True,
1721,32,19-IX,S. Ramón,CTG,,64000,64000,64000,True,
1722,32,,10-in-N.''S.''Belén,B-A,,18791,50263,50000,True,crown+private != total
1722,32,15-IV,La Ninfa VVRRCC,,,11112,31195,22000,True,crown+private != total
1722,33,25-V,Soledad de la Virgen,CTG,,5300,5300,4200,True,
1722,33,,17-Vn-La Teresa,P-R,,1000,1000,,True,
1723,33,10-II,"N.""S.''Asunción T-F",,1101563,4917153,6018716,,True,
1723,33,,S. Francisco Javier,,78,215759,215837,,True,
1723,33,,S. José/el Volante',VRC,,777587,777587,,True,
1723,33,,"N.""S."" Begoña .. T-F",,,15801,15801,,True,
1723,33,,"N.''S.""* del Rosario",VRC,,404809,404809,,True,
1723,33,,á. Francisco Javier,VRC,,18102,18102,,True,
1723,33,,S. Juan Bautista,VRC,,301,301,,True,
1723,33,2-III,"Jesús, María y José",VRC,,17663,17663,,True,
1723,33,,"25-1V—Begoña, Campanela",HAB,1040253,3910620,4950873,,True,
1723,33,,"Milagros, Matanzero",HAB,,1110,1110,12319549,True,
1723,33,15-VI,N.» S.» de la Rosa ... MART,,,22078,22078,,True,
1723,33,,19.VIÎ~~N.^ S.» de Guadalupe N-E,,408271,4062717,4470988,,True,
1723,33,,Sr. S. José,HAB,343775,3822197,4165972,,True,
1723,33,,El Blandón,VRC,3742,272437,276179,,True,
1723,33,,"N.'' S."" Concepción",CAM,,7048,7048,8920168,True,
1723,33,19-VII,Dos registros,B-A,,,,3578958,True,
1723,33,4-XII,N.'S.»deBegoña,CRC,,89956,89956,89684,True,
1724,33,20-VIII,"Flota de N.» España, al mando de A. Serrano",VRC,647950,10873797,11521747,10846000,True,
1724,33,,ó-X-N.-^S.-Aránzazu HND,,,3813,3813,11446000,True,
1724,33,30-X,Princesa del Cielo,HAB,,200,200,,True,
1726,33,11-IV,N.* S.» Esperanza,CRC,,14258,14258,,True,
1726,33,16-IV,'Navio de las Indias',,,,,600000,True,
1726,33,,22-1 V-Stma. Trinidad,CAM,,148054,148054,148154,True,
1726,33,3-VI,Sr.S.José,CTG,,581544,1192881,1500000,True,crown+private != total
1726,33,23-XII,Pal. indiana ... VRC-HAB,,,17590,17590,,True,
1727,33,,"20-11 -N.* S.» Carmen, Reyna",CRC,,26232,26232,,True,
1727,33,5-III,S.Luis N-E,,976256,4999857,5976113,,True,
1727,33,,"5III—S. Lorenzo, Incendio",CRC,,1865,1865,,True,
1727,34,,S. Antonio Padua N-E,,,112371,112371,,True,
1727,34,,"N.* S."" del Carmen",,,96295,96295,,True,
1727,34,,S. Juan Bautista,,,56028,56028,,True,
1727,34,,"N.''S."" del Rosario",,,144230,144230,,True,
1727,34,,S.Fernando,,858667,4750542,5609209,,True,
1727,34,9-VIII,N.''S.''Carmen LanfCO,,,1582,1582,,True,
1727,34,,"N.""* S.* del Rosario",,,752390,752390,,True,
1727,34,,"S. Jerónimo, Retiré",,,3836,3836,,True,
1727,34,,S.Juan .^,,,5328,5328,,True,
1727,34,,N. ** S.* Concepción,,,116005,116005,,True,
1727,34,,S. José y Ánimas,,,26668,26668,,True,
1727,34,,Reina de los Ángeles,,,23215,23215,,True,
1727,34,,N.^ S.''Belén,,,5646,5646,12928977,True,
1727,34,15-X,S.RafaelyS.Dmgo,B-A,,395633,395633,,True,
1727,34,15-X,"N.^ S.""» Coral y S. Carlos",B-A,,306931,306931,700000,True,
1728,34,3-V,"N.""S.»Valbanera,Gallo VRC",,,852194,852194,860000,True,
1728,34,22-IX,S. Judas/Constanza' CRC,,,3851,3851,,True,
1728,34,8-XI,S. Antonio Padua .... HAB,,,20000,20000,,True,
1728,34,,IX- '3 mercantes y 1 aviso'. CTG,,,,,3500000,True,
1729,34,16-II,LaRosa CRC,,,3886,3886,,True,
1729,34,,"18-11-N.»S."" del Rosario ... VRC",,,159576,159576,,True,
1729,34,,"22-11-Guadalupe, el Fuerte S.Antonio",,831237,4621325,5452562,5595499,True,
1729,34,22-II,"S. Luis, Cap.* T-F",,247192,,6690689,,True,crown+private != total
