period,first_year,last_year,years,avg_annual_public_pesos,avg_annual_private_pesos,avg_annual_total_pesos,total_pesos,pesos_272mrv,public_share,pct_silver_by_weight,pct_gold_by_weight,total_kg_weight,silver_kg,gold_kg,value_ag_equiv_kg,public_kg_ag_equiv,private_kg_ag_equiv
1503-1510,1503,1510,8,75176.3,211756.2,286932.5,2295460.0,1898780.2,0.262,0.0,100.0,4726.1,0.0,4726.2,48532.8,12715.6,35817.2
1511-1520,1511,1520,10,114690.5,323059.4,437749.9,4377499.0,3621020.7,0.262,0.0,100.0,9012.9,0.0,9012.9,92553.3,24249.0,68304.3
1521-1530,1521,1530,10,61444.6,173076.6,234521.2,2345212.0,1939934.5,0.262,2.949,97.051,4960.6,142.5,4814.4,49584.7,12991.2,36593.5
1531-1540,1531,1540,10,356649.1,760975.7,1117624.9,11176249.0,9244874.6,0.3191,89.602,10.398,120328.0,105030.8,12511.8,236299.0,75403.0,160896.0
1541-1550,1541,1550,10,470092.0,1622451.2,2092543.2,20925432.0,17309295.4,0.2247,87.677,12.323,206526.8,176398.3,25450.5,442425.6,99413.0,343012.6
1551-1560,1551,1560,10,1039400.4,2533505.5,3572905.9,35729059.0,29554698.6,0.2909,87.672,12.328,352557.2,301108.3,43463.5,755418.1,219751.1,535667.0
1561-1570,1561,1570,10,1120855.2,3948895.0,5069750.2,50697502.0,41936435.9,0.2211,98.803,1.197,964845.7,928667.6,11549.3,1071895.3,236996.1,834899.3
1571-1580,1571,1580,10,1989667.8,3842042.2,5831710.0,58317100.0,48239286.5,0.3412,99.164,0.836,1144323.8,1105440.2,9566.6,1232996.2,420698.3,812297.9
1581-1590,1581,1590,10,3118763.3,7522685.2,10641448.5,106414485.0,88024933.2,0.2931,99.428,0.572,2136635.7,2069528.7,12221.6,2249917.3,659450.8,1590466.5
1591-1600,1591,1600,10,4199533.3,9723139.3,13922672.6,139226726.0,115166871.0,0.3016,99.287,0.713,2761184.2,2670668.8,19687.4,2943665.2,887809.4,2055855.8
1601-1610,1601,1610,10,3013912.9,8147794.1,11161707.0,111617070.0,92328456.4,0.27,99.466,0.534,2248616.8,2178825.1,12007.7,2359915.3,637177.1,1722738.2
1611-1620,1611,1620,10,2312141.9,8615974.2,10928116.1,109281161.0,90396217.2,0.2116,99.598,0.402,2227526.6,2161253.9,8954.7,2310527.3,488907.6,1821619.7
1621-1630,1621,1630,10,1901991.4,8491049.6,10393041.0,103930410.0,85970132.7,0.183,99.819,0.181,2161139.4,2101494.5,3911.7,2197396.6,402123.6,1795273.0
1631-1640,1631,1640,10,1885025.5,4800065.7,6685091.2,66850912.0,55298365.3,0.282,99.911,0.089,1401861.7,1364428.4,1247.7,1413426.2,398586.2,1014840.0
1641-1650,1641,1650,10,1261754.9,3845115.0,5106869.9,51068699.0,42243486.1,0.2471,99.848,0.152,1064742.5,1035657.7,1618.4,1079743.5,266804.6,812938.9
1651-1660,1651,1660,10,569080.4,1561896.1,2130976.5,21309765.0,17627211.6,0.2671,99.89,0.11,446004.1,434003.4,490.6,450551.5,120342.3,330209.2
