year,garcia_baquero,morineau_printed,morineau_corrected,morineau_effective,printed_difference,implied_difference,reconciles
1717,5622769,7615848,5559193,5559193,63576,63576,True
1718,7706884,7312440,,7312440,394444,394444,True
1719,480245,442372,,442372,37873,37873,True
1720,8049529,7986920,,7986920,62609,62609,True
1721,16174166,15858442,,15858442,315724,315724,True
1722,87758,76200,,76200,11558,11558,True
1723,21453020,21330401,,21330401,122619,122619,True
1724,11525760,10846000,11466000,11466000,79760,59760,False
1726,1372783,2248154,,2248154,-875371,-875371,True
1727,13659577,13628977,,13628977,30600,30600,True
1728,876045,4360000,860000,860000,16045,16045,True
1729,20823158,25897766,20302367,20302367,520791,520791,True
1730,12405138,11785971,,11785971,619167,619167,True
1731,8767668,9764888,8483289,8483289,284379,284379,True
1732,9360086,9517183,8781044,8781044,579042,579042,True
1734,20361121,20732774,20132774,20132774,228347,228347,True
1735,3706432,3604458,,3604458,101974,101974,True
1736,8155954,7854492,,7854492,301462,301462,True
1737,14483674,14189122,,14189122,294552,294552,True
1738,6710575,7500000,,7500000,-789425,-789425,True
1739,6934056,7101860,6817201,6817201,116855,116855,True
1740,256222,7625516,785516,785516,-529294,-529294,True
1741,264781,4110000,,4110000,-3845219,-3845219,True
1742,1382888,2395812,,2395812,-1012924,-1012924,True
1743,4246029,7934000,,7934000,-3687971,-3687971,True
1744,1477535,1924024,602124,602124,875411,875411,True
1745,11549642,9604514,10308767,10308767,1240885,1240875,False
1746,8656139,6990791,,6990791,1665348,1665348,True
1748,5444918,4816732,,4816732,628186,628186,True
1749,30072364,34887801,,34887801,-4815437,-4815437,True
1750,31413939,30150113,,30150113,1263826,1263826,True
1751,7897127,8644226,7643866,7643866,253262,253261,True
1752,26445694,25393397,,25393397,1052297,1052297,True
1753,14204173,13924541,,13924541,279632,279632,True
1754,14387525,14905872,,14905872,-518347,-518347,True
1755,20082728,23170094,20038775,20038775,43953,43953,True
1756,15786473,15436670,,15436670,349803,349803,True
1757,12379105,12061493,,12061493,317612,317612,True
1758,22641589,22224941,,22224941,416648,416648,True
1759,13012880,12721112,,12721112,291768,291768,True
1760,14549727,13964800,13247800,13247800,1301927,1301927,True
1761,16313966,16057784,,16057784,256182,256182,True
1762,256954,279947,,279947,-22993,-22993,True
1763,15298261,16236395,15271945,15271945,26316,26316,True
1764,17617958,16996262,,16996262,621696,621696,True
1765,18358645,18335371,,18335371,23274,23274,True
1766,9807600,11113154,,11113154,-1305554,-1305554,True
1767,28505313,28679498,28160206,28160206,345107,345107,True
1768,12821930,12107518,,12107518,714412,714412,True
1769,8023413,6960808,5821896,5821896,2201517,2201517,True
1770,27325313,27439200,26589200,26589200,736113,736113,True
1771,1703971,1350318,,1350318,353653,353653,True
1772,20280237,19866571,,19866571,413666,413666,True
1773,10050645,9016980,,9016980,1033665,1033665,True
1774,31372919,31015761,,31015761,357158,357158,True
1775,16108732,14870960,,14870960,1237772,1237772,True
1776,10480346,10028291,,10028291,452055,452055,True
1777,4349971,2110364,,2110364,2239607,2239607,True
1778,34188525,32362254,,32362254,1826271,1826271,True
