decade,morineau_t_ag,modern_arrivals_t_ag,production_t_ag,modern_over_morineau
1581-1590,2247.0,1892.0,2718.0,0.84
1591-1600,3093.0,2297.0,3068.0,0.74
1601-1610,2357.0,2484.0,3340.0,1.05
1611-1620,2375.0,2605.0,3369.0,1.1
1621-1630,2584.0,2616.0,3326.0,1.01
1631-1640,2280.0,2919.0,3400.0,1.28
1641-1650,2449.0,3055.0,2757.0,1.25
1651-1660,2047.0,2703.0,2472.0,1.32
1661-1670,4010.0,2425.0,2280.0,0.6
1671-1680,3604.0,2839.0,2653.0,0.79
1681-1690,3642.0,3220.0,2848.0,0.88
1691-1700,3471.0,2834.0,2572.0,0.82
1701-1710,3052.0,1955.0,2685.0,0.64
1711-1720,2300.0,2448.0,3323.0,1.06
1721-1730,3310.0,2276.0,4565.0,0.69
1731-1740,2421.0,2674.0,5480.0,1.1
1741-1750,3029.0,3122.0,6070.0,1.03
1751-1760,3711.0,4061.0,6443.0,1.09
1761-1770,3941.0,4022.0,6401.0,1.02
1771-1780,3468.0,5323.0,7623.0,1.53
1781-1790,6370.0,4749.0,8120.0,0.75
1791-1800,4355.0,4781.0,9145.0,1.1
1801-1805,3778.0,1988.0,3872.0,0.53
