decade,despatched,arrived,despatched_t_ag,arrived_t_ag,ratio
1560,261407.0,41936435.9,7.0,1072.0,0.006
1570,2371187.0,48239286.5,61.0,1233.0,0.049
1580,8879043.0,88024933.2,227.0,2250.0,0.101
1590,24299059.490000002,115166871.0,621.0,2944.0,0.211
1600,26659244.43,92328456.4,681.0,2360.0,0.289
1610,17904573.98,90396217.2,458.0,2311.0,0.198
1620,16790224.43,85970132.7,429.0,2197.0,0.195
1630,21473762.74,55298365.3,549.0,1413.0,0.388
1640,18323626.86,42243486.1,468.0,1080.0,0.434
1650,15333686.620000001,17627211.6,392.0,451.0,0.87
1710,7947422.0,13809898.0,203.0,353.0,0.575
1720,6463634.51,94021796.0,165.0,2403.0,0.069
1730,11208921.0,90884704.0,287.0,2323.0,0.123
1740,6805430.0,63350518.0,174.0,1619.0,0.107
1750,12175332.0,178251233.0,311.0,4556.0,0.068
1760,6338091.0,141553767.0,162.0,3618.0,0.045
1770,14350622.0,155860659.0,367.0,3984.0,0.092
