caja,region,year,direction,counterparty,account,currency,currency_assumed,amount_raw,pesos_272mrv,includes_freight
ARICA,Upper Peru (Charcas),1759,out,Lima,REMITIDO A LIMA,OCHO,False,12913.0,12913.0,False
ARICA,Upper Peru (Charcas),1761,out,Lima,REMITIDO A LIMA,OCHO,False,10409.0,10409.0,False
ARICA,Upper Peru (Charcas),1762,out,Lima,REMITIDO A LIMA,OCHO,False,15228.0,15228.0,False
ARICA,Upper Peru (Charcas),1763,out,Lima,REMITIDO A LIMA,OCHO,False,13099.0,13099.0,False
ARICA,Upper Peru (Charcas),1765,out,Lima,REMITIDO A LIMA,OCHO,False,9858.0,9858.0,False
ARICA,Upper Peru (Charcas),1766,out,Lima,REMITIDO A LIMA,OCHO,False,8469.0,8469.0,False
ARICA,Upper Peru (Charcas),1767,out,Lima,REMITIDO A LIMA,OCHO,False,4956.0,4956.0,False
ARICA,Upper Peru (Charcas),1768,out,Lima,REMITIDO A LIMA,OCHO,False,13774.0,13774.0,False
ARICA,Upper Peru (Charcas),1770,out,Lima,REMITIDO A LIMA,OCHO,False,11291.0,11291.0,False
ARICA,Upper Peru (Charcas),1771,out,Lima,REMITIDO A LIMA,OCHO,False,7493.0,7493.0,False
ARICA,Upper Peru (Charcas),1772,out,Lima,REMITIDO A LIMA,OCHO,False,8600.0,8600.0,False
ARICA,Upper Peru (Charcas),1773,out,Lima,REMITIDO A LIMA,OCHO,False,7517.0,7517.0,False
ARICA,Upper Peru (Charcas),1774,out,Lima,REMITIDO A LIMA,OCHO,False,12668.0,12668.0,False
ARICA,Upper Peru (Charcas),1775,out,Lima,REMITIDO A LIMA,OCHO,False,12668.0,12668.0,False
ARICA,Upper Peru (Charcas),1776,out,Lima,REMITIDO A LIMA,OCHO,False,14465.0,14465.0,False
ARICA,Upper Peru (Charcas),1777,out,Lima,REMITIDO A LIMA,OCHO,False,12269.0,12269.0,False
ARICA,Upper Peru (Charcas),1778,out,Lima,REMITIDO A LIMA,OCHO,False,17096.0,17096.0,False
ARICA,Upper Peru (Charcas),1779,out,Lima,REMITIDO A LIMA,OCHO,False,13784.0,13784.0,False
ARICA,Upper Peru (Charcas),1780,out,Lima,REMITIDO A LIMA,OCHO,False,39063.0,39063.0,False
ARICA,Upper Peru (Charcas),1783,out,Lima,REMITIDO A LIMA,OCHO,False,35308.0,35308.0,False
ARICA,Upper Peru (Charcas),1784,out,Lima,REMITIDO A LIMA,OCHO,False,29177.0,29177.0,False
ARICA,Upper Peru (Charcas),1785,out,Lima,REMITIDO A LIMA,OCHO,False,37200.0,37200.0,False
ARICA,Upper Peru (Charcas),1786,out,Lima,REMITIDO A LIMA,OCHO,False,75250.0,75250.0,False
ARICA,Upper Peru (Charcas),1787,out,unspecified,OTRAS TESORERIAS,OCHO,False,67946.0,67946.0,False
ARICA,Upper Peru (Charcas),1788,out,unspecified,OTRAS TESORERIAS,OCHO,False,73412.0,73412.0,False
ARICA,Upper Peru (Charcas),1789,out,unspecified,OTRAS TESORERIAS,OCHO,False,58642.0,58642.0,False
ARICA,Upper Peru (Charcas),1789,in,unspecified,OTRAS TESORERIAS,OCHO,False,52.0,52.0,False
ARICA,Upper Peru (Charcas),1791,out,unspecified,OTRAS TESORERIAS,OCHO,False,56776.0,56776.0,False
ARICA,Upper Peru (Charcas),1792,out,unspecified,OTRAS TESORERIAS,OCHO,False,59393.0,59393.0,False
ARICA,Upper Peru (Charcas),1793,out,unspecified,OTRAS TESORERIAS,OCHO,False,55973.0,55973.0,False
ARICA,Upper Peru (Charcas),1794,out,unspecified,OTRAS TESORERIAS,OCHO,False,49387.0,49387.0,False
ARICA,Upper Peru (Charcas),1795,out,unspecified,OTRAS TESORERIAS,OCHO,False,52194.0,52194.0,False
ARICA,Upper Peru (Charcas),1796,out,unspecified,OTRAS TESORERIAS,OCHO,False,49396.0,49396.0,False
ARICA,Upper Peru (Charcas),1797,out,unspecified,OTRAS TESORERIAS,OCHO,False,65582.0,65582.0,False
ARICA,Upper Peru (Charcas),1798,out,unspecified,OTRAS TESORERIAS,OCHO,False,78575.0,78575.0,False
ARICA,Upper Peru (Charcas),1799,out,unspecified,OTRAS TESORERIAS,OCHO,False,54776.0,54776.0,False
ARICA,Upper Peru (Charcas),1800,out,unspecified,OTRAS TESORERIAS,OCHO,False,58762.0,58762.0,False
ARICA,Upper Peru (Charcas),1801,out,unspecified,OTRAS TESORERIAS,OCHO,False,38222.0,38222.0,False
ARICA,Upper Peru (Charcas),1803,out,unspecified,OTRAS TESORERIAS,OCHO,False,41968.0,41968.0,False
ARICA,Upper Peru (Charcas),1804,out,unspecified,OTRAS TESORERIAS,OCHO,False,61006.0,61006.0,False
ARICA,Upper Peru (Charcas),1805,out,unspecified,OTRAS TESORERIAS,OCHO,False,15815.0,15815.0,False
ARICA,Upper Peru (Charcas),1806,out,unspecified,OTRAS TESORERIAS,OCHO,False,11599.0,11599.0,False
ARICA,Upper Peru (Charcas),1807,out,unspecified,OTRAS TESORERIAS,OCHO,False,25031.0,25031.0,False
ARICA,Upper Peru (Charcas),1808,out,unspecified,OTRAS TESORERIAS,OCHO,False,37526.0,37526.0,False
ARICA,Upper Peru (Charcas),1809,out,unspecified,OTRAS TESORERIAS,OCHO,False,36048.0,36048.0,False
ARICA,Upper Peru (Charcas),1809,in,unspecified,OTRAS TESORERIAS,OCHO,False,2.0,2.0,False
ARICA,Upper Peru (Charcas),1811,out,unspecified,OTRAS TESORERIAS,OCHO,False,21948.0,21948.0,False
ARICA,Upper Peru (Charcas),1812,out,unspecified,OTRAS TESORERIAS,OCHO,False,1782.0,1782.0,False
