region,caja,year,tax_class,currency,amount
Chile,Concepción,1785,silver_tax,OCHO,52.0
Chile,Concepción,1786,silver_tax,OCHO,50.0
Chile,Concepción,1787,silver_tax,OCHO,50.0
Chile,Concepción,1788,silver_tax,OCHO,50.0
Chile,MENDOZA,1781,mercury_sales,OCHO,6092.0
Chile,MENDOZA,1783,mercury_sales,OCHO,30.0
Chile,MENDOZA,1784,mercury_sales,OCHO,1080.0
Chile,MENDOZA,1785,mercury_sales,OCHO,480.0
Chile,MENDOZA,1786,mercury_sales,OCHO,390.0
Chile,MENDOZA,1786,silver_other,OCHO,640.0
Chile,MENDOZA,1787,mercury_sales,OCHO,609.0
Chile,MENDOZA,1787,silver_other,OCHO,494.0
Chile,MENDOZA,1788,gold_tax,OCHO,91.0
Chile,MENDOZA,1788,mercury_sales,OCHO,609.0
Chile,MENDOZA,1788,silver_other,OCHO,351.0
Chile,MENDOZA,1789,gold_tax,OCHO,44.0
Chile,MENDOZA,1789,mercury_sales,OCHO,3979.0
Chile,MENDOZA,1789,silver_tax,OCHO,125.0
Chile,MENDOZA,1790,gold_tax,OCHO,88.0
Chile,MENDOZA,1790,mercury_sales,OCHO,4917.0
Chile,MENDOZA,1790,silver_tax,OCHO,354.0
Chile,MENDOZA,1791,gold_tax,OCHO,125.0
Chile,MENDOZA,1791,mercury_sales,OCHO,19480.0
Chile,MENDOZA,1791,silver_tax,OCHO,622.0
Chile,MENDOZA,1792,gold_tax,OCHO,109.0
Chile,MENDOZA,1792,mercury_sales,OCHO,19480.0
Chile,MENDOZA,1792,silver_tax,OCHO,814.0
Chile,MENDOZA,1793,gold_tax,OCHO,223.0
Chile,MENDOZA,1793,mercury_sales,OCHO,18251.0
Chile,MENDOZA,1793,silver_tax,OCHO,556.0
Chile,MENDOZA,1794,mercury_sales,OCHO,18068.0
Chile,MENDOZA,1795,gold_tax,OCHO,904.0
Chile,MENDOZA,1795,mercury_sales,OCHO,17812.0
Chile,MENDOZA,1796,gold_tax,OCHO,300.0
Chile,MENDOZA,1796,mercury_sales,OCHO,13634.0
Chile,MENDOZA,1796,silver_tax,OCHO,943.0
Chile,MENDOZA,1797,mercury_sales,OCHO,12264.0
Chile,MENDOZA,1798,gold_tax,OCHO,518.0
Chile,MENDOZA,1798,mercury_sales,OCHO,12043.0
Chile,MENDOZA,1799,gold_tax,OCHO,171.0
Chile,MENDOZA,1799,mercury_sales,OCHO,9491.0
Chile,MENDOZA,1799,silver_tax,OCHO,36.0
Chile,MENDOZA,1800,gold_tax,OCHO,1047.0
Chile,MENDOZA,1800,mercury_sales,OCHO,9624.0
Chile,MENDOZA,1800,silver_tax,OCHO,139.0
Chile,MENDOZA,1801,gold_tax,OCHO,374.0
Chile,MENDOZA,1801,mercury_sales,OCHO,6881.0
Chile,MENDOZA,1801,silver_tax,OCHO,1737.0
Chile,MENDOZA,1802,gold_tax,OCHO,475.0
Chile,MENDOZA,1802,mercury_sales,OCHO,1735.0
Chile,MENDOZA,1803,gold_tax,OCHO,356.0
Chile,MENDOZA,1803,mercury_sales,OCHO,2737.0
Chile,MENDOZA,1805,gold_tax,OCHO,74.0
Chile,MENDOZA,1805,mercury_sales,OCHO,894.0
Chile,MENDOZA,1805,silver_tax,OCHO,91.0
Chile,MENDOZA,1806,gold_tax,OCHO,464.0
Chile,MENDOZA,1806,mercury_sales,OCHO,37.0
Chile,MENDOZA,1806,silver_tax,OCHO,327.0
Chile,MENDOZA,1807,gold_tax,OCHO,528.0
Chile,MENDOZA,1807,mercury_sales,OCHO,1752.0
Chile,MENDOZA,1808,gold_tax,OCHO,679.0
Chile,MENDOZA,1808,mercury_sales,OCHO,444.0
Chile,MENDOZA,1809,gold_tax,OCHO,881.0
