counterparty,pesos,n,first,last
Havana,40679762.0,41,1658,1801
Chile,25371610.07,169,1605,1747
Internal presidios,21084085.0,74,1769,1816
Panama,20848718.6,97,1675,1809
Buenos Aires,14024934.0,17,1674,1788
Valdivia,11695827.77,151,1658,1820
Louisiana,10213882.0,26,1779,1801
Manila,9870634.0,27,1789,1816
Santo Domingo,7586373.0,17,1672,1799
Puerto Rico,5190937.0,15,1658,1799
Isla del Carmen,3601315.0,82,1717,1816
Chiloe,3225277.0,62,1754,1820
Trinidad,2135220.0,11,1786,1796
Florida,1871087.0,22,1587,1799
Concepcion,1836445.28,18,1691,1765
Guatemala,913460.0,5,1806,1811
Yucatan,328439.0,2,1796,1797
San Blas,48073.0,12,1795,1809
Cartagena,4594.3,1,1622,1622
