iso3,name,value,value_share,area_share,error,area_km2,density
USA,United States,41312799193229.71,0.20776641668274975,0.20684408448591113,-0.0044392746987930165,9513248.93861455,4342659.322782975
CHN,China,41211254939859.87,0.20725573994165797,0.207432523570154,0.0008529733774600423,9409446.590545252,4379774.574762934
IND,India,12077172878802.195,0.06073737392982151,0.06096822172048815,0.0038007535678670212,3142896.262720754,3842688.9942422677
JPN,Japan,10154098531342.342,0.05106603056919711,0.045466515124742916,-0.10965245158161574,404585.77078514465,25097517.670078114
DEU,Germany,7702916494003.174,0.03873877803534944,0.03835833639111163,-0.009820692947275056,357415.8881531487,21551690.199912325
GBR,United Kingdom,5300121905248.552,0.02665487107481454,0.02399641288820563,-0.09973629882310009,249951.90500735183,21204566.954961434
FRA,France,5260568396430.892,0.026455952314654092,0.026586670489926263,0.004940974103576856,644863.0547522837,8157652.012568273
ITA,Italy,3823154698007.727,0.019227047489898928,0.018111169122236585,-0.05803690703154385,315095.51042182615,12133320.125347313
KOR,"Korea, Rep.",3463764876091.8066,0.017419638237805474,0.016247812339791935,-0.06727039230185339,99019.50965596476,34980630.46490915
IDN,Indonesia,3403514928351.467,0.017116634907317407,0.016993126381960398,-0.007215701335325453,1817750.8795804062,1872376.9943310958
BRA,Brazil,3244467135561.2534,0.0163167668123291,0.01688230310184753,0.03465982544354973,8508179.04468749,381335.0798708332
CAN,Canada,3209254512447.726,0.016139678823396685,0.019998359303803823,0.23908037592504305,10033994.236334868,319838.185757218
RUS,Russian Federation,3071120872130.8115,0.01544499020310362,0.01855961532682158,0.2016592489059712,17017038.801280353,180473.28374780118
AUS,Australia,3046277738642.913,0.015320051469230614,0.016232359482917395,0.05954993137712994,7687247.317750361,396276.7961958056
ESP,Spain,2649277545500.72,0.01332349570050337,0.013184481101164285,-0.010433793237448419,502221.2606009001,5275120.257415825
MEX,Mexico,2516450691832.0625,0.012655495468979394,0.013137528396275236,0.03808882303165295,1969333.2655871448,1277818.6078534543
NGA,Nigeria,2168812286203.908,0.010907185326622774,0.010805088277215236,-0.009360531278251427,905047.0960432997,2396352.9585206765
TUR,Turkiye,1916688784624.907,0.009639229692835531,0.00953406344679257,-0.010910233430906469,798680.1809257481,2399820.141277674
NLD,Netherlands,1834086069335.712,0.009223811940975378,0.008569251813934932,-0.0709641665754982,39962.33853935535,45895363.89441984
EGY,"Egypt, Arab Rep.",1620703982879.6296,0.00815069096265798,0.008354127438713999,0.0249594147279113,997569.577754726,1624652.574637871
SAU,Saudi Arabia,1577612667039.0752,0.00793398019850807,0.008445225653409508,0.06443745032254733,1919953.9930719568,821692.9534414884
VNM,Viet Nam,1532594872087.548,0.007707580968083364,0.007255029085440501,-0.058715164267083786,335840.24617351615,4563463.996794813
THA,Thailand,1522996360193.0269,0.0076593090412046295,0.007291621983722643,-0.04800525158391544,510045.3372468305,2986001.92762078
CHE,Switzerland,1467784218699.8633,0.007381641368729523,0.006753247992058085,-0.0851292206274703,46173.68432963979,31788327.9190191
PAK,Pakistan,1390496224729.3677,0.0069929519099315,0.007191339398590973,0.02836963434250417,874205.403734884,1590582.966873374
POL,Poland,1344176277196.853,0.0067600040170823356,0.006885722470633275,0.018597393320070932,310347.6739289708,4331194.947201358
BGD,Bangladesh,1327635300369.768,0.006676817703133436,0.006140043143683793,-0.08039377190090635,133712.47190789823,9929031.162360452
PHL,Philippines,1122092645497.2466,0.005643122051609504,0.00500606936530177,-0.11289011304053531,292320.7104438325,3838567.044372483
SWE,Sweden,1074870632078.1776,0.005405637574444556,0.005379738464477654,-0.004791129558766816,450646.5404804161,2385174.4893732048
BEL,Belgium,1038714822119.4668,0.005223806199566069,0.005057451531815904,-0.03184548993490288,30129.05635909596,34475517.910001814
IRN,"Iran, Islamic Rep.",976533925887.8242,0.004911091925818976,0.005093894432141981,0.037222375203762814,1617667.0920650398,603668.0418844558
ARG,Argentina,910527201068.7496,0.004579137157310556,0.00487758408125066,0.06517536245090105,2784192.994264631,327034.5133920002
MYS,Malaysia,908387462319.8254,0.004568376185863865,0.004439171906690531,-0.028282320438745012,338196.2427916162,2685977.3923613327
AUT,Austria,850838980684.3563,0.004278958812835946,0.004575158438805011,0.06922235967322932,85083.90129400355,9999999.620895626
IRL,Ireland,849958714807.9502,0.004274531863066371,0.004006798195022773,-0.06263461745528709,58476.38484509437,14535076.288650801
ZAF,South Africa,839826249359.2689,0.004223574627547474,0.004285336826010659,0.014623205201667933,1216480.2449124355,690373.9315715078
ISR,Israel,833954000957.9889,0.0041940424720888604,0.003341604430692901,-0.2032497398557338,23022.505090555893,36223425.629736826
NOR,Norway,750532366737.7822,0.0037745062907063175,0.003741010874856776,-0.008874118432923184,397380.5198619279,1888699.4435423228
DNK,Denmark,704072487133.0835,0.003540854664733655,0.0028104627001424884,-0.20627561245756665,42776.77228327186,16459224.23671072
ARE,United Arab Emirates,700177187400.6849,0.0035212647922701506,0.0031817633385456314,-0.09641463330726785,80038.96518008273,8747954.022460554
NZL,New Zealand,608547957329.8706,0.003060451747233682,0.002952410804229077,-0.03530228604396801,277633.0539436466,2191914.646637833
ROU,Romania,602746437541.0541,0.0030312752934136752,0.002995465177132146,-0.011813548033508314,238372.99117462194,2528585.2838063673
COL,Colombia,587663908667.1816,0.0029554236677714184,0.00302660014458193,0.024083341277490566,1152045.2245762502,510104.8953033406
CHL,Chile,541599002128.8738,0.0027237584029336285,0.002885230374659812,0.059282780569770877,814571.723534975,664888.046663971
FIN,Finland,538602978593.24554,0.002708691085142278,0.002705209383648246,-0.0012853815310019945,341256.7874998011,1578292.3543859462
