tile_x,tile_y,cells_per_side,value_usd,drawn_area
2216,320,8,303743.97811125277,409854353.78125
2224,320,8,810249.6983435332,237603655.40625
2232,320,8,1417631.5884116746,282125095.65625
2240,320,8,1620502.3337827749,215937441.0
2248,320,8,2430885.009747725,235464570.75
2256,320,8,2633555.9877602253,248597763.421875
2264,320,8,2431009.933680945,20063331.8125
2272,320,8,2734858.0061920206,197871379.015625
2280,320,8,3545086.701074197,56452933.625
2288,320,8,4051576.5601348113,623782745.015625
2296,320,8,3849002.499301057,456564699.296875
2304,320,8,2633626.9513508747,728261281.484375
2312,320,8,4051388.024772172,1182323634.65625
2320,320,8,4355205.561268034,431483207.6875
2328,320,8,4659220.09668848,400640930.71875
2336,320,8,5267159.703529915,370154555.484375
2344,320,8,5672243.74364191,420058703.734375
2352,320,8,5368373.868390144,51843348.328125
2360,320,8,5368392.348835386,10631980.09375
2368,320,8,5368341.369335445,291763757.71875
2376,320,8,5672364.601447574,131845098.0625
2384,320,8,5672422.449903191,563022322.1875
2392,320,8,5469702.612421546,634237167.984375
2400,320,8,6077328.997560743,488599960.28125
2408,320,8,6381227.972506665,353853388.65625
2416,320,8,6077412.9790936215,513583285.65625
2424,320,8,6482549.023693134,765673733.4375
2432,320,8,5672244.561217708,195632064.84375
2440,320,8,5469482.75040485,305253287.734375
2448,320,8,4861716.048311915,443928931.3125
2456,320,8,4861588.308629755,553267532.59375
2464,320,8,4557873.162533041,787382643.140625
2472,320,8,3848916.814622929,749186334.21875
2480,320,8,3646157.0644832165,672574917.71875
2488,320,8,2228138.985361551,832992989.75
2496,320,8,1215344.248635394,1106600145.5
2504,320,8,506384.72993171006,1489888975.90625
3600,320,8,1509797.7921347255,790071533.8203125
3608,320,8,3522861.514981026,2168737474.546875
3648,320,8,2516329.6535578757,1234273162.0546875
3656,320,8,3019595.584269451,470100803.2265625
2128,328,8,202532.32365010295,1231664063.0
2136,328,8,1114135.3810276398,748385066.6875
2144,328,8,607684.953395813,611817232.515625
2160,328,8,202509.1264669713,639181206.484375
2168,328,8,1822941.5103277655,1053560213.25
2176,328,8,2430664.2534267604,996084061.03125
2184,328,8,3950068.6231295946,8038098.203125
2192,328,8,5266984.49187604,211275235.375
2200,328,8,5976062.3605459705,92500004.59375
2208,328,8,6482617.7449593935,98760659.03125
2216,328,8,5368374.444293671,5572873.15625
2224,328,8,3443901.05164043,32493241.46875
2232,328,8,3545051.4771031365,32773020.0
2240,328,8,3240960.4958746457,15574453.890625
2248,328,8,4253813.020780763,18547048.09375
2256,328,8,2228297.2933319993,60778290.34375
2264,328,8,5164950.831254663,2756370.1875
2272,328,8,4051420.854105084,88751456.234375
2280,328,8,5671899.454138903,20229070.390625
2288,328,8,4456474.323442905,55384393.984375
2296,328,8,4557561.291558468,17848024.046875
2304,328,8,5165390.982251807,234897943.625
2312,328,8,5672198.115484368,162560713.09375
2320,328,8,5672213.710037,215482802.3125
2328,328,8,4659424.520205971,101967278.421875
2336,328,8,4456699.151348726,72666137.65625
2344,328,8,6178439.396002201,165934218.578125
2352,328,8,6482510.434968879,345746412.28125
2360,328,8,6482661.545077778,340867320.515625
2368,328,8,5976172.360831445,3658294.265625
2376,328,8,6178659.184446506,725799953.71875
2384,328,8,6482589.073001747,172417027.421875
2392,328,8,6381250.554966207,476171546.71875
2400,328,8,6279680.747056303,480245404.1875
2408,328,8,4962997.986787579,424355594.90625
2416,328,8,4051471.600508689,651987316.328125
2424,328,8,2633434.4640678125,484119694.40625
2432,328,8,2329518.3785220636,875473474.34375
2440,328,8,1620592.9397082436,872029425.53125
2448,328,8,1012855.5479683531,686927115.75
2456,328,8,303782.4018123574,953709166.71875
3176,328,8,1688318.6158617742,1179406606.8476562
3192,328,8,6753274.463447097,750874747.5859375
3200,328,8,5064955.847585322,1009150584.3359375
3216,328,8,11818230.31103242,1656815549.578125
3224,328,8,18571504.774479516,966642375.0546875
3232,328,8,11818230.311032418,1277437531.09375
3240,328,8,6753274.463447097,1458479294.8007812
3248,328,8,35454690.93309726,1535766073.8359375
3256,328,8,52337877.091715,1486314934.8828125
3264,328,8,40519646.78068258,1129463073.1328125
3272,328,8,35454690.93309726,511455749.8046875
3280,328,8,43896284.012406126,790102347.7148438
3288,328,8,32078053.70137371,968934586.1171875
3296,328,8,43896284.01240613,823389296.15625
3304,328,8,38831328.164820805,1330272090.7109375
3312,328,8,28701416.46965016,665081398.1171875
3320,328,8,16883186.158617742,1296573517.3671875
3376,328,8,6753274.463447097,1496997005.65625
3384,328,8,3376637.2317235484,1447045351.8671875
3488,328,8,2013063.7228463006,1072150810.875
3496,328,8,4026127.445692601,800453880.0703125
3504,328,8,5032659.307115751,696996924.25
3512,328,8,8052254.891385202,692944341.34375
3520,328,8,9562052.683519928,728609124.3359375
3528,328,8,10065318.614231503,662056250.234375
3536,328,8,9562052.683519928,747477882.8515625
3544,328,8,5032659.307115751,1208314107.8984375
3560,328,8,4529393.3764041765,926201360.546875
3568,328,8,5032659.307115751,746233670.828125
3576,328,8,10065318.614231503,664926070.6328125
3584,328,8,11575116.406366229,595981988.3359375
3592,328,8,6542457.099250477,348202623.046875
3600,328,8,13084914.198500954,138898742.984375
3608,328,8,15601243.852058828,610987593.953125
3616,328,8,9562052.683519926,603372351.140625
3624,328,8,11575116.406366227,650924711.796875
3632,328,8,11575116.406366227,490917152.6171875
3640,328,8,9562052.683519928,66464124.2890625
3648,328,8,2013063.7228463006,496386061.375
3656,328,8,4026127.445692601,470122053.7265625
3664,328,8,6039191.168538902,511204180.9375
3672,328,8,5535925.237827326,1131230745.0234375
3904,328,8,1509797.7921347255,2176922107.828125
3920,328,8,1006531.8614231503,1150098261.8125
3928,328,8,9058786.752808353,473289563.15625
3936,328,8,23653498.743444033,12550802.5
3944,328,8,24660030.604867183,76835081.40625
3952,328,8,23653498.743444033,6862595.625
3960,328,8,29692689.91198294,38760126.71875
3968,328,8,25666562.466290336,262614645.109375
3976,328,8,13588180.129212528,398035241.453125
3984,328,8,6039191.168538902,620609657.5
