iso3,country,gdp_usd,ag_land_usd,urban_land_usd,urban_pred_free,total_land_usd,total_free_usd,ag_source,reported_land_usd,reported_urban_land_usd
USA,United States,21375281000000.0,182218576186.12457,41130580617043.586,98923479895947.92,41312799193229.71,99105698472134.05,cwon,,
CHN,China,14996414166715.1,12354968940595.11,28856285999264.758,63186481137680.82,41211254939859.87,75541450078275.94,cwon,,
IND,India,2674851578587.27,6930190320223.9,5146982558578.295,7140434700283.539,12077172878802.195,14070625020507.44,cwon,,
JPN,Japan,5189197543645.38,168980304982.1431,9985118226360.2,16508936060236.953,10154098531342.342,16677916365219.096,cwon,11843175343846.467,11674195038864.324
DEU,Germany,3941398957073.94,118827772649.69891,7584088721353.475,11658574943579.818,7702916494003.174,11777402716229.518,cwon,6968483635287.06,6849655862637.36
GBR,United Kingdom,2724001478304.59,58564500489.622604,5241557404758.929,7306776397928.897,5300121905248.552,7365340898418.5205,cwon,8124765947739.175,8066201447249.552
FRA,France,2647926055110.05,165396263831.8344,5095172132599.058,7049650184757.392,5260568396430.892,7215046448589.226,cwon,9155294613009.984,8989898349178.15
ITA,Italy,1907481094079.23,152755936208.4193,3670398761799.308,4655969300866.874,3823154698007.7275,4808725237075.293,cwon,,
KOR,"Korea, Rep.",1744070276373.34,107803234971.71289,3355961641120.0938,4157346593164.5723,3463764876091.8066,4265149828136.285,cwon,8226222284668.943,8118419049697.23
IDN,Indonesia,1059054842698.48,1365668474520.977,2037846453830.49,2212150919379.4272,3403514928351.467,3577819393900.4043,cwon,,
BRA,Brazil,1476107231310.49,404123306779.909,2840343828781.344,3366591178633.5117,3244467135561.2534,3770714485413.421,cwon,,
CAN,Canada,1655686966881.99,23361130838.9385,3185893381608.7876,3892700619580.547,3209254512447.726,3916061750419.4854,cwon,3911561381972.4453,3888200251133.507
RUS,Russian Federation,1493075894362.14,198125731602.5329,2872995140528.279,3415612135914.357,3071120872130.8115,3613737867516.8896,cwon,,
AUS,Australia,1333336461648.09,480655194290.845,2565622544352.068,2960167305630.852,3046277738642.913,3440822499921.6973,cwon,5321780466750.2705,4841125272459.426
ESP,Spain,1289783836971.21,167459501326.0418,2481818044174.678,2838409507243.0806,2649277545500.72,3005869008569.1226,cwon,,
MEX,Mexico,1121064767168.8,359283972809.11597,2157166719022.9468,2377220496152.9717,2516450691832.0625,2736504468962.088,cwon,,
NGA,Nigeria,598586817817.392,1017004112709.589,1151808173494.319,1075032996916.4474,2168812286203.9082,2092037109626.0364,cwon,,
TUR,Turkiye,733628247119.077,505032219217.81006,1411656565407.097,1390466954814.618,1916688784624.907,1895499174032.428,cwon,,
NLD,Netherlands,932560861701.17,39640901457.001396,1794445167878.7104,1883426189033.0876,1834086069335.712,1923067090490.089,cwon,1844197832882.4639,1804556931425.4624
EGY,"Egypt, Arab Rep.",383817841547.099,882156935287.01,738547047592.6196,612806521101.3024,1620703982879.6296,1494963456388.3125,cwon,,
SAU,Saudi Arabia,767951200000.0,99911450313.299,1477701216725.7761,1473246632808.5547,1577612667039.0752,1573158083121.8538,cwon,,
VNM,Viet Nam,346615738537.796,865632572173.693,666962299913.8547,538671984099.48694,1532594872087.5479,1404304556273.18,cwon,,
THA,Thailand,500274927778.532,560361143950.463,962635216242.564,856790866143.4854,1522996360193.0269,1417152010093.9482,cwon,,
CHE,Switzerland,756096180222.082,12894577957.21912,1454889640742.644,1444541766321.502,1467784218699.8633,1457436344278.7212,cwon,,
PAK,Pakistan,300425609817.981,812413542960.508,578082681768.8596,449541055938.9216,1390496224729.3677,1261954598899.4297,cwon,,
POL,Poland,605914237903.742,178268591159.2104,1165907686037.6426,1091703548811.6382,1344176277196.853,1269972139970.8486,cwon,,
BGD,Bangladesh,373979442362.193,608019422422.0029,719615877947.7653,593007654664.4741,1327635300369.768,1201027077086.477,cwon,,
