iso3,country,gdp_usd,land_usd,ag_land_usd,urban_land_usd,urban_pred_k,urban_pred_free,used
AUS,Australia,1333336461648.09,5321780466750.2705,480655194290.845,4841125272459.426,2565622544352.068,2960167305630.852,True
AUT,Austria,434397601557.696,950714504044.2354,14965732013.65135,935748772030.584,835873248670.705,716669561769.1421,True
CAN,Canada,1655686966881.99,3911561381972.4453,23361130838.9385,3888200251133.507,3185893381608.7876,3892700619580.547,True
CZE,Czechia,251109660602.536,238966792688.5751,38656483042.6325,200310309645.9426,483188321085.98065,358326689171.6655,True
DEU,Germany,3941398957073.94,6968483635287.06,118827772649.69891,6849655862637.36,7584088721353.475,11658574943579.818,True
EST,Estonia,31820771493.8974,44340395608.24839,6514978612.52252,37825416995.72587,61229922882.710625,26279022707.117123,True
FIN,Finland,270000311606.226,228872114115.1718,19065032722.65004,209807081392.5218,519537945870.5955,392753180797.9329,True
FRA,France,2647926055110.05,9155294613009.984,165396263831.8344,8989898349178.15,5095172132599.058,7049650184757.392,True
GBR,United Kingdom,2724001478304.59,8124765947739.175,58564500489.622604,8066201447249.552,5241557404758.929,7306776397928.897,True
HRV,Croatia,57959824238.1808,2970854568.728672,16774389702.86573,-13803535134.137058,111527012130.4217,56100876706.06233,False
JPN,Japan,5189197543645.38,11843175343846.467,168980304982.1431,11674195038864.324,9985118226360.2,16508936060236.953,True
KOR,"Korea, Rep.",1744070276373.34,8226222284668.943,107803234971.71289,8118419049697.23,3355961641120.0938,4157346593164.5723,True
MEX,Mexico,1121064767168.8,281587546563.1456,359283972809.11597,-77696426245.97034,2157166719022.9468,2377220496152.9717,False
NLD,Netherlands,932560861701.17,1844197832882.4639,39640901457.001396,1804556931425.4624,1794445167878.7104,1883426189033.0876,True
SVK,Slovak Republic,107732602896.441,118961862938.19595,16829558532.107159,102132304406.08879,207300409688.93042,122875295469.82939,True
SWE,Sweden,544265668451.678,1170631622319.0398,27587887428.3713,1143043734890.6685,1047282744649.8064,953163278678.4028,True
