tract,county,services,occupied
01001020100,01001,6227203,672
01001020200,01001,5905491,572
01001020300,01001,10883826,1253
01001020400,01001,17216390,1648
01001020501,01001,26708480,1834
01001020502,01001,19397646,1333
01001020503,01001,20102810,1398
01001020600,01001,14505587,1361
01001020700,01001,8708976,1092
01001020801,01001,20546253,1192
01001020803,01001,15428952,1719
01001020804,01001,39319777,2166
01001020805,01001,12745869,1110
01001020901,01001,14048923,1099
01001020902,01001,14501141,1294
01001021000,01001,9385436,1134
01001021100,01001,10008098,1646
01003010100,01003,11743622,1299
01003010200,01003,12183585,1173
01003010300,01003,33065704,3016
01003010400,01003,26943870,2218
01003010500,01003,18094587,1841
01003010600,01003,9525566,1390
01003010704,01003,24206682,1818
01003010706,01003,26435546,1349
01003010707,01003,32875792,2026
01003010708,01003,76459004,4319
01003010709,01003,81218476,3808
01003010710,01003,47040367,2668
01003010711,01003,22232277,1701
01003010800,01003,66779973,2801
01003010903,01003,29916017,2314
01003010904,01003,38862247,2913
01003010906,01003,16435369,1796
01003010907,01003,19165871,1505
01003010908,01003,27186231,2099
01003011000,01003,26029036,2080
01003011102,01003,46889200,2241
01003011103,01003,26809872,1627
01003011104,01003,55201887,3194
01003011201,01003,47865780,2072
01003011202,01003,73724192,2828
01003011300,01003,58878812,2349
01003011409,01003,32468298,2256
01003011410,01003,47207377,3341
01003011411,01003,41326052,2851
01003011412,01003,33512987,1625
01003011413,01003,41524786,2024
01003011414,01003,34452824,1354
01003011415,01003,40881572,908
01003011416,01003,19250175,937
01003011417,01003,26514297,1256
01003011418,01003,18163370,1017
01003011419,01003,44269653,2353
01003011501,01003,47470445,3531
01003011503,01003,54767065,4076
01003011504,01003,49564740,3096
01003011601,01003,35459082,2728
01003011603,01003,16838698,1466
01003011604,01003,15140897,1378
01003990000,01003,0,0
01005950100,01005,7575273,1060
01005950200,01005,5646958,899
01005950300,01005,4803285,721
01005950400,01005,5514584,1173
01005950500,01005,6990805,1264
01005950600,01005,3643534,601
01005950700,01005,4784053,709
01005950800,01005,7996358,926
01005950900,01005,12404186,1727
01007010001,01007,3903106,871
01007010005,01007,13876189,1489
01007010006,01007,5314117,525
01007010007,01007,6733478,979
01007010008,01007,7780069,1084
01007010009,01007,6205544,890
01007010010,01007,8833662,952
01007010011,01007,7300248,781
01009050103,01009,5973870,656
01009050104,01009,7130281,894
01009050105,01009,20796973,2049
01009050106,01009,10125811,1153
01009050107,01009,9543471,878
01009050200,01009,13811722,1482
01009050301,01009,10201177,1118
01009050302,01009,7040697,1082
01009050400,01009,14436590,1660
01009050501,01009,11389045,1504
01009050502,01009,14546537,1398
01009050601,01009,12771740,1412
01009050603,01009,17785710,1415
01009050604,01009,20997156,1963
01009050701,01009,20095199,2228
01009050702,01009,9837220,1085
01011952100,01011,4091125,613
01011952201,01011,6142032,1040
01011952202,01011,5094968,917
01011952500,01011,4390714,883
01013952700,01013,8084556,980
01013952800,01013,3817498,460
01013952900,01013,5782186,643
01013953000,01013,2534331,406
01013953100,01013,6552896,1089
01013953200,01013,9453994,1393
01013953300,01013,4352154,637
01013953400,01013,5540896,1024
01013953500,01013,3443641,630
01015000200,01015,7306741,1085
01015000300,01015,6229389,1006
01015000400,01015,7408426,1221
01015000500,01015,1989022,501
01015000600,01015,3905586,711
01015000700,01015,10301984,1269
01015000800,01015,5385686,603
01015000900,01015,19325550,1557
01015001000,01015,25015726,2469
01015001101,01015,12223247,866
01015001102,01015,4802158,586
01015001103,01015,14792667,1485
01015001201,01015,11036351,1223
01015001202,01015,15966591,1819
01015001300,01015,4118050,699
01015001400,01015,7213492,1229
01015001501,01015,8419509,1154
01015001502,01015,4801170,599
01015001600,01015,9172678,1502
01015001700,01015,20182885,2285
01015001801,01015,6150161,819
01015001802,01015,14258263,1726
01015002001,01015,8681903,790
01015002002,01015,23523608,1827
01015002101,01015,9635123,1093
01015002102,01015,16469847,1528
01015002104,01015,14788001,1598
01015002105,01015,12730361,1356
01015002200,01015,10169770,1459
01015002300,01015,9751896,1399
01015002400,01015,13101061,1732
01015002502,01015,13723773,1640
01015002503,01015,11778728,1309
01015002504,01015,11051098,1190
01015002600,01015,17793857,1790
01015981901,01015,0,0
01015981902,01015,0,0
01015981903,01015,0,0
01017953800,01017,15826657,1654
01017953900,01017,9965048,1115
01017954001,01017,7229753,908
01017954002,01017,12831051,1682
01017954200,01017,9951284,1351
01017954300,01017,20699301,2084
01017954600,01017,9955391,1397
01017954700,01017,15168910,1615
01017954800,01017,10352185,1613
01019955701,01019,13619933,1350
01019955702,01019,8969570,1466
01019955801,01019,4816524,703
01019955802,01019,15804550,1439
01019955900,01019,16303993,1625
01019956000,01019,22098040,2057
01019956101,01019,7272148,832
01019956102,01019,7362216,1005
01021060101,01021,20617382,2179
01021060103,01021,13293432,1295
01021060104,01021,12930944,1385
01021060200,01021,10647195,1076
01021060300,01021,12260204,1343
01021060401,01021,20522055,2015
01021060403,01021,9025174,1247
01021060404,01021,11372278,2095
01021060500,01021,10421994,1267
01021060600,01021,12264494,1433
01021060701,01021,8563534,962
01021060702,01021,6279725,1257
01023956700,01023,5094568,1057
01023956800,01023,13310760,1721
01023956900,01023,8149147,1521
01023957000,01023,6105559,875
01025957500,01025,3633452,552
01025957601,01025,2374850,328
01025957603,01025,5443559,529
01025957604,01025,10280953,1004
01025957700,01025,2323960,480
01025957800,01025,13182838,1873
01025957901,01025,11383957,1163
01025957902,01025,9081591,1326
01025958003,01025,9637747,1197
01027958900,01027,19016762,2333
01027959000,01027,9003282,1303
01027959100,01027,10633794,1209
01027959200,01027,5948894,920
01029959500,01029,7991503,988
01029959600,01029,14625594,1668
01029959700,01029,10306097,1346
01029959800,01029,16176607,1847
01031010100,01031,5438386,788
01031010200,01031,5714817,675
01031010300,01031,18774495,1833
01031010400,01031,4298444,727
01031010500,01031,12830411,1941
01031010600,01031,3242432,589
01031010700,01031,7570784,920
01031010800,01031,18426803,1321
01031010900,01031,13572325,1122
01031011000,01031,13486571,1330
01031011100,01031,9407702,924
01031011203,01031,26010004,2157
01031011204,01031,26145686,1413
01031011205,01031,15167682,1285
01031011206,01031,21633446,2061
01031011300,01031,16535197,1774
01033020100,01033,13650896,1734
01033020200,01033,5837696,790
01033020300,01033,10099801,1264
01033020400,01033,5523509,598
01033020500,01033,19575074,2186
01033020600,01033,23602871,2390
01033020703,01033,29895584,2837
01033020704,01033,17602302,1747
01033020705,01033,5366344,569
01033020706,01033,26944052,2065
01033020801,01033,14196072,1911
01033020802,01033,8848852,1391
01033020901,01033,13650752,1631
01033020902,01033,12788184,1427
01033021000,01033,10915463,1677
01035960200,01035,3051218,498
01035960300,01035,4255868,656
01035960400,01035,6840150,1167
01035960500,01035,4771492,647
01035960600,01035,10155320,1560
01037961000,01037,7698338,1333
01037961100,01037,7742411,1330
01037961200,01037,14904059,1538
01039961600,01039,16159193,1770
01039961700,01039,8223092,1326
01039961800,01039,12845779,1288
01039961900,01039,7028660,869
01039962000,01039,14689859,1635
01039962100,01039,3661497,488
01039962300,01039,12117584,1172
01039962400,01039,11762928,1465
01039962500,01039,4182499,513
01039962600,01039,3989865,597
01039962700,01039,3970925,709
01039962800,01039,4319194,621
01039962900,01039,6227381,746
01039963000,01039,8944967,1296
01041963400,01041,5092083,737
01041963500,01041,4120018,732
01041963600,01041,6463921,1114
01041963700,01041,11463108,1286
01041963800,01041,3063400,562
01041963900,01041,4260550,644
01043964100,01043,21963059,2594
01043964201,01043,14252952,1624
01043964202,01043,15466444,1401
01043964300,01043,20228923,1930
01043964400,01043,15311139,1531
01043964500,01043,17974861,1706
01043964600,01043,15528704,1466
01043964700,01043,19264547,1972
01043964800,01043,21965245,2165
01043964901,01043,14980058,1390
01043964902,01043,17654755,1386
01043965001,01043,16848265,1331
01043965002,01043,20208784,2155
01043965100,01043,19537924,1715
01043965200,01043,9497745,962
01043965300,01043,16107076,1727
01043965401,01043,12647827,1335
01043965402,01043,13603293,1771
01043965501,01043,6379682,763
01043965502,01043,17572147,1487
01043965600,01043,11632576,1047
