period,manifestos,dutch_gazettes,consular,gazetas_lisboa
1720-1724,15344,22259,27530,6518
1725-1729,25210,41276,18938,
1730-1734,20754,40219,26743,
1735-1739,19405,29273,23486,
1740-1744,28267,30137,28772,
1745-1749,25957,30257,31036,6612
1750-1754,26328,27010,24149,12372
1755-1759,21139,25612,8587,11910
1760-1764,18443,18340,1682,
1765-1769,19210,15668,,
1770-1774,15380,12000,,
1775-1779,11060,17760,,
1780-1784,8727,10040,,
1785-1789,1653,3200,,
1790-1794,1316,,,
1795-1799,4928,,,
1800-1807,7683,,,
