cp_iso2,period,currency,usd_mn
1C,2000-Q1,EUR,22327.0
1C,2000-Q2,EUR,20319.0
1C,2000-Q3,EUR,18123.0
1C,2000-Q4,EUR,18629.0
1C,2001-Q1,EUR,18440.0
1C,2001-Q2,EUR,17741.0
1C,2001-Q3,EUR,17991.0
1C,2001-Q4,EUR,18517.0
1C,2002-Q1,EUR,20307.0
1C,2002-Q2,EUR,23730.0
1C,2002-Q3,EUR,24666.0
1C,2002-Q4,EUR,23803.0
1C,2003-Q1,EUR,26555.0
1C,2003-Q2,EUR,30122.0
1C,2003-Q3,EUR,30998.0
1C,2003-Q4,EUR,34201.0
1C,2004-Q1,EUR,26640.0
1C,2004-Q2,EUR,27261.0
1C,2004-Q3,EUR,30867.0
1C,2004-Q4,EUR,32855.0
1C,2005-Q1,EUR,28282.0
1C,2005-Q2,EUR,28624.0
1C,2005-Q3,EUR,28695.0
1C,2005-Q4,EUR,26587.0
1C,2006-Q1,EUR,28737.0
1C,2006-Q2,EUR,28314.0
1C,2006-Q3,EUR,26458.0
1C,2006-Q4,EUR,27664.0
1C,2007-Q1,EUR,28006.0
1C,2007-Q2,EUR,28276.0
1C,2007-Q3,EUR,30799.0
1C,2007-Q4,EUR,30134.0
1C,2008-Q1,EUR,35742.0
1C,2008-Q2,EUR,34219.0
1C,2008-Q3,EUR,27023.0
1C,2008-Q4,EUR,31711.0
1C,2009-Q1,EUR,37191.0
1C,2009-Q2,EUR,44974.0
1C,2009-Q3,EUR,46703.0
1C,2009-Q4,EUR,44974.0
1C,2010-Q1,EUR,49273.0
1C,2010-Q2,EUR,52506.0
1C,2010-Q3,EUR,56644.0
1C,2010-Q4,EUR,46551.0
1C,2011-Q1,EUR,53454.0
1C,2011-Q2,EUR,62743.0
1C,2011-Q3,EUR,67812.0
1C,2011-Q4,EUR,70807.0
1C,2012-Q1,EUR,87171.092
1C,2012-Q2,EUR,99198.225
1C,2012-Q3,EUR,106353.099
1C,2012-Q4,EUR,158147.3
1C,2013-Q1,EUR,165516.378
1C,2013-Q2,EUR,173495.478
1C,2013-Q3,EUR,183330.939
1C,2013-Q4,EUR,184128.911
1C,2014-Q1,EUR,206841.108
1C,2014-Q2,EUR,198333.115
1C,2014-Q3,EUR,189077.738
1C,2014-Q4,EUR,167594.173
1C,2015-Q1,EUR,146118.613
