group,group_name,freq,period,measure,currency,currency_name,usd,share_pct
G001,World,A,1995,allocated,CHF,Swiss franc,3463651709.0,0.334597065418042
G001,World,A,1995,allocated,DEM,Deutsche mark,163071770033.0,15.7531242427723
G001,World,A,1995,allocated,ECU,European currency unit,88288010000.0,8.52883359514445
G001,World,A,1995,allocated,FRF,French franc,24344659776.0,2.35175254442716
G001,World,A,1995,allocated,GBP,Pound sterling,21874306308.0,2.11311047230706
G001,World,A,1995,allocated,JPY,Japanese yen,70070639145.0,6.76899186167091
G001,World,A,1995,allocated,NLG,Netherlands guilder,3306038785.0,0.319371278799449
G001,World,A,1995,allocated,OTH,Other currencies,50415217730.0,4.87023099379119
G001,World,A,1995,allocated,TOTAL,All currencies,1035170976372.0,74.4825598853141
G001,World,A,1995,allocated,USD,U.S. dollar,610336682886.0,58.9599879456695
G001,World,A,1995,total,TOTAL,All currencies,1389816593261.46,
G001,World,A,1995,unallocated,TOTAL,All currencies,354645616889.462,25.5174401146859
G001,World,A,1996,allocated,CHF,Swiss franc,3704910000.0,0.302144885456493
G001,World,A,1996,allocated,DEM,Deutsche mark,179909387000.0,14.6720706110709
G001,World,A,1996,allocated,ECU,European currency unit,86836700000.0,7.08175496163735
G001,World,A,1996,allocated,FRF,French franc,22637974000.0,1.84618467417483
G001,World,A,1996,allocated,GBP,Pound sterling,32882911900.0,2.68168556037837
G001,World,A,1996,allocated,JPY,Japanese yen,82307441000.0,6.71238230703635
G001,World,A,1996,allocated,NLG,Netherlands guilder,2934818000.0,0.239341913419126
G001,World,A,1996,allocated,OTH,Other currencies,54947531000.0,4.48111167615734
G001,World,A,1996,allocated,TOTAL,All currencies,1226203115900.0,78.2879850913185
G001,World,A,1996,allocated,USD,U.S. dollar,760041443000.0,61.9833234106692
G001,World,A,1996,total,TOTAL,All currencies,1566272416475.79,
G001,World,A,1996,unallocated,TOTAL,All currencies,340069300575.789,21.7120149086815
G001,World,A,1997,allocated,CHF,Swiss franc,4434727200.0,0.348292556717082
G001,World,A,1997,allocated,DEM,Deutsche mark,184338294000.0,14.477475800118
G001,World,A,1997,allocated,ECU,European currency unit,77322150000.0,6.0726913065502
G001,World,A,1997,allocated,FRF,French franc,18314080000.0,1.43834275693918
G001,World,A,1997,allocated,GBP,Pound sterling,32856070000.0,2.58043485154519
G001,World,A,1997,allocated,JPY,Japanese yen,73487323000.0,5.77151343468523
G001,World,A,1997,allocated,NLG,Netherlands guilder,4460931000.0,0.350350538659625
G001,World,A,1997,allocated,OTH,Other currencies,49175820000.0,3.86214783999769
G001,World,A,1997,allocated,TOTAL,All currencies,1273276478200.0,78.7799552281931
G001,World,A,1997,allocated,USD,U.S. dollar,828887083000.0,65.0987509147878
G001,World,A,1997,total,TOTAL,All currencies,1616244226734.89,
G001,World,A,1997,unallocated,TOTAL,All currencies,342967748534.886,21.2200447718069
G001,World,A,1998,allocated,CHF,Swiss franc,4236631079.96558,0.330267723277006
G001,World,A,1998,allocated,DEM,Deutsche mark,176950800031.493,13.7942475413556
G001,World,A,1998,allocated,ECU,European currency unit,16637380000.0,1.2969714639253
G001,World,A,1998,allocated,FRF,French franc,20813855466.143,1.62254974003438
G001,World,A,1998,allocated,GBP,Pound sterling,34142263729.1578,2.66156941600959
G001,World,A,1998,allocated,JPY,Japanese yen,80029361412.4839,6.23871054385705
G001,World,A,1998,allocated,NLG,Netherlands guilder,3488943866.75256,0.271981564069299
G001,World,A,1998,allocated,OTH,Other currencies,57763702528.7132,4.50298507519879
G001,World,A,1998,allocated,TOTAL,All currencies,1282786897226.46,78.0367661983125
G001,World,A,1998,allocated,USD,U.S. dollar,888723959111.752,69.280716932273
G001,World,A,1998,total,TOTAL,All currencies,1643823750931.14,
G001,World,A,1998,unallocated,TOTAL,All currencies,361036853704.675,21.9632338016875
G001,World,A,1999,allocated,CHF,Swiss franc,3171864564.29576,0.229894413428983
G001,World,A,1999,allocated,EUR,Euro,246950496655.992,17.8987905769332
G001,World,A,1999,allocated,GBP,Pound sterling,39827370892.0595,2.88665858331864
