port_name,year,vessels,real_hacienda,particulares,total_pesos
Buenos Aires,1721,1,0.0,4193190.0,4193190.0
Buenos Aires,1722,1,0.0,18791.0,50263.0
Buenos Aires,1723,1,0.0,0.0,0.0
Buenos Aires,1727,2,0.0,702564.0,702564.0
Buenos Aires,1729,2,0.0,41904.0,41904.0
Buenos Aires,1739,3,0.0,1605124.0,1605124.0
Buenos Aires,1740,3,0.0,158516.0,158516.0
Buenos Aires,1744,1,0.0,26111.0,26111.0
Buenos Aires,1745,3,3748.0,1000525.0,1004273.0
Buenos Aires,1746,2,332858.0,564199.0,897057.0
Buenos Aires,1747,1,0.0,48510.0,48510.0
Buenos Aires,1748,2,0.0,176444.0,176444.0
Buenos Aires,1749,1,5000.0,46095.0,51095.0
Buenos Aires,1750,1,108572.0,1467399.0,1575971.0
Buenos Aires,1751,2,98000.0,1266189.0,1364189.0
Buenos Aires,1752,1,0.0,249136.0,249136.0
Buenos Aires,1753,1,0.0,76727.0,76727.0
Buenos Aires,1754,4,0.0,2891131.0,2891131.0
Buenos Aires,1755,1,1041.0,916834.0,917875.0
Buenos Aires,1756,1,1165.0,1136864.0,1138029.0
Buenos Aires,1757,1,0.0,434048.0,434048.0
Buenos Aires,1758,5,0.0,2420992.0,2420992.0
Buenos Aires,1759,3,0.0,1494428.0,1494428.0
Buenos Aires,1760,1,0.0,229223.0,229223.0
Buenos Aires,1761,4,0.0,4062671.0,4062671.0
Buenos Aires,1764,2,0.0,704317.0,1767014.0
Buenos Aires,1765,2,149170.0,587080.0,736250.0
Buenos Aires,1766,4,2071.0,1570957.0,1573028.0
Buenos Aires,1767,3,0.0,805964.0,805964.0
Buenos Aires,1768,4,0.0,1481203.0,1481203.0
Buenos Aires,1769,7,0.0,1607214.0,1607214.0
Buenos Aires,1770,4,2200.0,2650827.0,2653027.0
Buenos Aires,1771,1,0.0,3453.0,3453.0
Buenos Aires,1772,6,1727.0,1938171.0,1939898.0
Buenos Aires,1773,4,0.0,1188926.0,1188926.0
Buenos Aires,1774,6,98.0,1616779.0,1616877.0
Buenos Aires,1775,7,5544.0,1243947.0,1249491.0
Buenos Aires,1776,5,648.0,767933.0,768581.0
Buenos Aires,1778,1,15000.0,160501.0,175501.0
Callao (Lima),1721,1,300000.0,880496.0,1180496.0
Callao (Lima),1746,2,0.0,1949246.0,1949246.0
Callao (Lima),1747,1,0.0,1821519.0,1821519.0
Callao (Lima),1751,1,0.0,4410.0,4410.0
Callao (Lima),1753,3,620000.0,3516921.0,4136921.0
Callao (Lima),1756,1,100000.0,3160556.0,3260556.0
Callao (Lima),1757,2,500000.0,3872881.0,4372881.0
Callao (Lima),1760,3,3500.0,6254343.0,6257843.0
Callao (Lima),1763,10,570981.0,14704958.0,15275939.0
Callao (Lima),1764,3,0.0,7949567.0,7949567.0
Callao (Lima),1765,3,0.0,6444346.0,6444346.0
Callao (Lima),1766,2,1522785.0,4525514.0,6048299.0
Callao (Lima),1767,3,23748.0,2509773.0,2533521.0
Callao (Lima),1768,3,56344.0,2302485.0,2358829.0
Callao (Lima),1769,1,0.0,2036747.0,2036747.0
Callao (Lima),1770,2,100000.0,3291853.0,3391853.0
Callao (Lima),1772,5,151190.0,7787650.0,7938840.0
Callao (Lima),1773,3,40000.0,5695748.0,5735748.0
Callao (Lima),1774,4,324619.0,4104142.0,4428761.0
Callao (Lima),1776,6,5935.0,4035010.0,4040945.0
Callao (Lima),1778,2,58243.0,4757169.0,4815412.0
Campeche,1717,1,0.0,36994.0,36994.0
Campeche,1723,1,0.0,7048.0,7048.0
Campeche,1726,1,0.0,148054.0,148054.0
Campeche,1732,1,0.0,66962.0,66962.0
Campeche,1737,1,0.0,74675.0,74675.0
Campeche,1752,1,0.0,418000.0,418000.0
Campeche,1753,1,0.0,29298.0,29298.0
Campeche,1758,1,0.0,73243.0,73243.0
Caracas,1721,1,0.0,14648.0,14648.0
Caracas,1723,1,0.0,89956.0,89956.0
Caracas,1726,1,0.0,14258.0,14258.0
Caracas,1727,2,0.0,28097.0,28097.0
Caracas,1731,8,276126.0,2465333.0,2741459.0
Caracas,1732,6,1574817.0,1882076.0,3456893.0
Caracas,1734,1,35000.0,900.0,35900.0
Caracas,1735,2,70542.0,31432.0,101974.0
Caracas,1736,2,30100.0,79822.0,109922.0
Caracas,1737,11,606428.0,7065487.0,7671915.0
Caracas,1738,2,35326.0,118414.0,153740.0
Caracas,1739,3,7040.0,46250.0,53290.0
Caracas,1740,1,0.0,3511.0,3511.0
Caracas,1741,1,0.0,1004.0,1004.0
Caracas,1746,4,2800.0,114605.0,117405.0
Caracas,1749,1,0.0,8702.0,8702.0
Caracas,1750,3,0.0,48316.0,48316.0
Caracas,1751,4,0.0,56336.0,56336.0
Caracas,1752,4,0.0,150980.0,150980.0
Caracas,1753,3,0.0,50935.0,50935.0
Caracas,1754,2,0.0,1498.0,1498.0
Caracas,1755,2,0.0,25181.0,25181.0
Caracas,1756,4,0.0,43935.0,43935.0
Caracas,1757,3,0.0,31938.0,31938.0
Caracas,1758,4,0.0,82488.0,82488.0
Caracas,1759,7,0.0,129459.0,129459.0
Caracas,1760,1,0.0,5856.0,5856.0
Caracas,1761,2,0.0,12965.0,12965.0
Caracas,1764,2,0.0,32448.0,32448.0
Caracas,1765,3,0.0,12552.0,12552.0
Caracas,1766,2,0.0,19659.0,19659.0
Caracas,1767,4,0.0,21057.0,21057.0
Caracas,1768,2,0.0,72069.0,72069.0
Caracas,1769,3,0.0,13288.0,13288.0
